sec,floor,apt,step
0,0,0,Vinçte taşıyıcı iskelet
3,0,1,Vinçte taşıyıcı iskelet
6,0,2,Vinçte taşıyıcı iskelet
9,0,3,Vinçte taşıyıcı iskelet
12,0,0,Vinçte dış duvar
15,0,1,Vinçte dış duvar
18,0,2,Vinçte dış duvar
21,0,3,Vinçte dış duvar
24,0,3,"Dış-iskelet tamam, iç dekora geçiliyor"
24,0,3,Elektrik-su hattı döşeme
24,0,0,"Dış-iskelet tamam, iç dekora geçiliyor"
24,0,1,"Dış-iskelet tamam, iç dekora geçiliyor"
24,0,2,"Dış-iskelet tamam, iç dekora geçiliyor"
24,1,0,Vinçte taşıyıcı iskelet
26,0,3,Sıva
26,0,0,Elektrik-su hattı döşeme
27,1,1,Vinçte taşıyıcı iskelet
27,0,3,Boya
28,0,0,Sıva
28,0,1,Elektrik-su hattı döşeme
28,0,3,Asansörde Fayans ve parkeler döşeme
30,0,0,Boya
30,0,1,Sıva
30,1,2,Vinçte taşıyıcı iskelet
30,0,2,Elektrik-su hattı döşeme
30,0,3,Asansörde Mobilya taşıma
31,0,0,Asansörde Fayans ve parkeler döşeme
31,0,1,Boya
32,0,2,Sıva
32,0,3,Final kontrol
32,0,1,Asansörde Fayans ve parkeler döşeme
33,1,3,Vinçte taşıyıcı iskelet
33,0,2,Boya
33,0,0,Asansörde Mobilya taşıma
34,0,0,Final kontrol
34,0,1,Asansörde Mobilya taşıma
35,0,2,Asansörde Fayans ve parkeler döşeme
35,0,1,Final kontrol
36,1,0,Vinçte dış duvar
37,0,2,Asansörde Mobilya taşıma
38,0,2,Final kontrol
39,1,1,Vinçte dış duvar
42,1,2,Vinçte dış duvar
45,1,3,Vinçte dış duvar
48,1,3,"Dış-iskelet tamam, iç dekora geçiliyor"
48,1,3,Elektrik-su hattı döşeme
48,1,0,"Dış-iskelet tamam, iç dekora geçiliyor"
48,1,1,"Dış-iskelet tamam, iç dekora geçiliyor"
48,1,2,"Dış-iskelet tamam, iç dekora geçiliyor"
48,2,0,Vinçte taşıyıcı iskelet
50,1,3,Sıva
50,1,0,Elektrik-su hattı döşeme
51,2,1,Vinçte taşıyıcı iskelet
52,1,3,Boya
52,1,0,Sıva
52,1,1,Elektrik-su hattı döşeme
54,2,2,Vinçte taşıyıcı iskelet
54,1,0,Boya
54,1,1,Sıva
54,1,2,Elektrik-su hattı döşeme
55,1,3,Asansörde Fayans ve parkeler döşeme
56,1,2,Sıva
57,1,0,Asansörde Fayans ve parkeler döşeme
57,2,3,Vinçte taşıyıcı iskelet
57,1,1,Boya
57,1,3,Asansörde Mobilya taşıma
57,1,2,Boya
58,1,1,Asansörde Fayans ve parkeler döşeme
58,1,3,Final kontrol
59,1,0,Asansörde Mobilya taşıma
60,1,1,Asansörde Mobilya taşıma
60,1,2,Asansörde Fayans ve parkeler döşeme
